Отчет;;;;;;;;;;;;;;;;;
c 18.07.2021 по 25.07.2023;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;Дата;id;utm_1;utm_2;utm_3;Имя;Фамилия;Дата рождения;Пол;Где опубликована запись (укажи название источника)? ;Укажи ссылку на пост в источнике;Тип публикации;Дата публикации;Сколько прочтений/просмотров собрала публикация через 7 дней после размещения?;Сколько лайков собрала публикация через 7 дней после размещения?;Сколько репостов собрала публикация через 7 дней после размещения?;Сколько комментариев собрала публикация через 7 дней после размещения?
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall593811522_169;Пост;03.12.2022;331;32;1;4
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall213708917_1533;Пост;05.12.2022;827;102;1;5
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall213708917_1526;Пост;02.12.2022;810;70;1;6
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall213708917_1524;Репост;25.11.2022;228;4;1;0
;;;;;;;;;Ж;Школа №2000;https://vk.com/wall-160779209_2807;Пост;28.10.2022;1300;11;1;-
;;;;;;;;;M;Личная страница;https://vk.com/max_astrakhan?w=wall160979203_1279%2Fall;Пост;06.12.2022;360;26;1;0
;;;;;;;;;M;Личная страница;https://vk.com/max_astrakhan?w=wall160979203_1277%2Fall;Пост;22.11.2022;398;47;4;0
;;;;;;;;;M;Сообщество Астраханского технопарка;https://vk.com/technopark.fabrika?w=wall-52812441_4555;Пост;24.10.2022;268;23;2;0
;;;;;;;;;Ж;Мой  личный блог в Telegram;https://t.me/olesyaaa_selezneva/100;Пост;06.12.2022;24;2 (реакции);-;0
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/98;Пост;24.11.2022;163;0;3;0
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/91;Пост;12.10.2022;449;11 (реакции);14;1
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/82;Пост;19.09.2022;191;4 (реакции);1;2
;;;;;;;;;Ж;Мой личный блог в Telegarm;https://t.me/olesyaaa_selezneva/79;Пост;02.09.2022;211;7 (реакции);2;3
;;;;;;;;;Ж;Мой личный блог в Teleram;https://t.me/olesyaaa_selezneva/70;Пост;16.08.2022;260;5 (реакций);3;2
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/56;Пост;25.07.2022;394;14 (реакции);3;7
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/33;Пост;07.07.2022;246;8 (реакции);2;1
;;;;;;;;;Ж;Мой личный блог в Telegram;https://t.me/olesyaaa_selezneva/31;Пост;06.07.2022;204;7 (реакции);0;0
;;;;;;;;;Ж;Институт ИТиАД ИРНИТУ | Профком студентов;https://vk.com/wall-187428825_1976;Пост;02.12.2022;391;11;0;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5611;Пост;06.12.2022;141;5;0;1
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5606;Пост;24.11.2022;204;9;1;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5551;Репост;01.10.2022;335;15;2;2
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5558;Пост;12.10.2022;210;8;2;0
;;;;;;;;;Ж;Личная страничка;https://vk.com/lizzka_shev?w=wall310382837_1571;Пост;05.12.2022;1100;146;2;13
;;;;;;;;;Ж;Колледж Сириус группа ВКонтакте;https://vk.com/wall-205589957_752;Пост;24.11.2022;1000+;19;2;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall392675559_549;Пост;06.11.2022;275 просмотров;6;1;2
;;;;;;;;;Ж;Официальный сайт Университета науки и технологий МИСИС;https://misis.ru/university/news/misc/2022-09/8148/;Упоминание;12.09.2022;неизвестно;-;-;-
;;;;;;;;;Ж;КИПФИН | Колледж информатики и программирования Финансового университета при Правительстве РФ;https://vk.com/wall-157025793_2341;Новость на сайте;27.10.2022;2,6 тысяч просмотров;45;10;2
;;;;;;;;;Ж;Личная страница;https://vk.com/wall392675559_546;Репост;20.10.2022;96 просмотров;1;0;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall392675559_545;Пост;18.10.2022;242 просмотра;6;1;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall392675559_534;Репост;13.09.2022;412 просмотров;15;1;0
;;;;;;;;;Ж;Официальная группа Университета науки и технологий МИСИС;https://vk.com/wall-62258607_35121;Пост;13.09.2022;22000 просмотров;267;33;0
;;;;;;;;;M;Факультет физики и математики БФ УУНиТ;https://vk.com/wall-19839018_3003;Пост;03.10.2022;6032;86;12;1
;;;;;;;;;Ж;Клуб Проектных Инициатив НИТУ МИСиС;https://vk.com/wall-198475439_1056;Интервью;05.12.2022;400;22;5;-
;;;;;;;;;Ж;Классные встречи РДШ;https://vk.com/klassnye_vstrechi?w=wall-182619262_23085;Пост;03.11.2022;10000;148;7;1
;;;;;;;;;Ж;РДШ Кузбасс;https://vk.com/skm_42?w=wall-136852164_39890;Пост;11.11.2022;1400;19;3;0
;;;;;;;;;Ж;РДШ Кемерово;https://vk.com/skm_kem?w=wall-63400087_6947;Пост;08.11.2022;569;15;2;0
;;;;;;;;;Ж;Личная страничка;https://vk.com/lizzka_shev?w=wall310382837_1499;Пост;21.10.2022;1000;91;2;6
;;;;;;;;;Ж;Личная страничка;https://vk.com/lizzka_shev?w=wall310382837_1507;Пост;22.10.2022;1000;74;3;10
;;;;;;;;;Ж;Личная страничка;https://vk.com/lizzka_shev?w=wall310382837_1535;Пост;07.11.2022;1100;33;6;0
;;;;;;;;;M;Университет «МИСИС»;https://vk.com/wall-62258607_35537;Пост с видео;20.10.2022;27686;239;167;1
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_220;Пост;04.12.2022;271;54;2;3
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_162;Пост;07.11.2022;474;52;2;12
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_161;Пост;07.11.2022;179;15;2;0
;;;;;;;;;Ж;Личная страница Лилия Рак;https://vk.com/wall139522908_4165;Пост;06.12.2022;Пока неизвестно;6 (только выложен);1 (только выложила);Пока не известно
;;;;;;;;;M;"Личная страница ""ВКонтакте""";https://vk.com/mihailmyagkov?w=wall234692177_1471%2Fall;Пост;03.12.2022;285;19;1;1
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1134;Пост;30.11.2022;295;22;3;10
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1134;Пост;30.11.2022;295;22;3;10
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_15455;Статья;27.11.2022;18 374;261;85;14
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1690;Пост;24.11.2022;210;17;2;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1684;Пост;23.11.2022;269;27;0;4
;;;;;;;;;Ж;Творческий индустриальный кластер Октава;https://vk.com/wall-151725049_8371;Пост;29.12.2022;4,2К;48;21;0
;;;;;;;;;M;Моя страница;https://vk.com/leshkartoshka74?w=wall397207329_1065;Пост;20.11.2022;800;84;1;12
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1133;Пост;24.11.2022;210;13;0;0
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48303;Пост;24.11.2022;297;14;1;2
;;;;;;;;;Ж;Российское движение школьников;https://t.me/skm_rus/4111;Пост;25.11.2022;1,6К;20;Неизвестно;0
;;;;;;;;;Ж;Российское движение школьников;https://vk.com/wall-122623791_296713;Прямой эфир;25.11.2022;11,8К;76;5;2
;;;;;;;;;Ж;РДШ Медиа;https://vk.com/wall-152323139_74610;Анонс;23.11.2022;6,9К;143;23;16
;;;;;;;;;M;ВКонтакте;https://vk.com/wall-32943546_432534;Статья;22.11.2022;127000;99;88;0
;;;;;;;;;M;ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4292;Пост;22.11.2022;355;35;4;19
;;;;;;;;;M;ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4280;Пост;22.11.2022;591;49;0;4
;;;;;;;;;Ж;VK Джуниор;https://vk.com/wall593811522_162;Пост;08.11.2022;252;10;1;-
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall213708917_1521;Пост;08.11.2022;386;19;1;0
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1120;Пост;17.11.2022;230;39;2;2
;;;;;;;;;M;личная страница;https://vk.com/yourtimetofly?w=wall321041322_1634%2Fall;Пост;16.11.2022;503;56;3;1
;;;;;;;;;M;Личная страница;https://vk.com/wall487640536_1270;Пост;18.11.2022;259;44;2;6
;;;;;;;;;Ж;Сообщество: Гармония в Политехе;https://vk.com/wall-102612225_6302;Пост;14.11.2022;1000;20;1;1
;;;;;;;;;Ж;Личная страница;https://vk.com/clip162645455_456239419;Клип;18.11.2022;551;26;0;7 (3 моих комментария)
;;;;;;;;;Ж;Личная страница;https://vk.com/clip162645455_456239416;Клип;15.11.2022;528;11;1;0
;;;;;;;;;Ж;Личная страница;https://vk.com/clip162645455_456239414;Клип;11.11.2022;598;26;0;0
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48273;Пост;12.11.2022;511;42;0;2
;;;;;;;;;M;Моя страница;https://vk.com/dimento?w=wall137413706_2035;Пост;09.11.2022;174;6;1;0
;;;;;;;;;M;Моя страница;https://vk.com/dimento?w=wall137413706_2033%2Fall;Пост;07.11.2022;290;33;2;0
;;;;;;;;;M;VK;https://vk.com/azhizhkov?w=wall494487661_468%2Fall;Пост;07.11.2022;205;7;1;0
;;;;;;;;;Ж;Сообщество  МТУСИ;https://vk.com/wall-786_8259;Пост;11.11.2022;4,7 К;72;23;8
;;;;;;;;;Ж;vk.com;https://vk.com/sulinschool6?w=wall-14868749_13961;Упоминание;08.11.2022;102;1;1;-
;;;;;;;;;Ж;vk.com;https://vk.com/vikabaxareva?w=wall196938698_1424%2Fall;Пост;08.11.2022;301;8;2;-
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1110;Пост;07.11.2022;170;17;2;9
;;;;;;;;;Ж;"Сайт ГБОУ ""ИТШ №777"" Санкт-Петербурга";https://school777.spb.ru/news/2972;Статья;21.10.2022;неизвестно;неизвестно;неизвестно;неизвестно
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1648;Пост;13.10.2022;396;51;1;4
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1655;Клип;22.10.2022;730;19;1;1
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1663;Клип;09.11.2022;517;21;0;4
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1662;Пост;08.11.2022;243;8;4;0
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48257;Пост;07.11.2022;239;15;1;0
;;;;;;;;;M;Личная страница;https://vk.com/wall487640536_1267;Пост;08.11.2022;142;9;0;0
;;;;;;;;;Ж;Технопарк ТГПУ им. Л.Н. Толстого;https://vk.com/wall-209575388_744;Пост;08.11.2022;477;28;5;0
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1105;Пост;23.10.2022;400;32;3;3
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1097;Пост;22.10.2022;более 1100;63;5;8
;;;;;;;;;Ж;Вконтакте;https://vk.com/wall122091293_1096;Пост;21.10.2022;306;29;2;0
;;;;;;;;;Ж;Сообщество VK Дома;https://vk.com/wall-212758174_354;Пост;25.10.2022;1,9к;23;3;0
;;;;;;;;;Ж;Группа Вконтакте Колледжа Сириус;https://vk.com/wall-205589957_730;Пост;01.11.2022;1,7к;24;1;0
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall139522908_4160;Пост;08.11.2022;Пока не известно;1 пока не известно;1 пока не известно;1 пока не известно
;;;;;;;;;Ж;Личная страница «ВКонтакте»;https://vk.com/wall213708917_1512;Пост;23.10.2022;757;68;2;8
;;;;;;;;;M;Уфимский университет науки и технологий Бирский филиал;https://www.birsk.ru/node/2588;Новость на сайте;24.10.2022;80;-;-;-
;;;;;;;;;M;light team | БФ УУНиТ;https://vk.com/wall-189654538_647;Пост;22.10.2022;2272;54;9;0
;;;;;;;;;M;"Газета ""ПОБЕДА""-город Бирск";https://vk.com/wall-37792189_63951;Пост;24.10.2022;4939;30;5;2
;;;;;;;;;M;В Бирске;https://vk.com/wall-196074411_20384;Пост;25.10.2022;3723;8;2;0
;;;;;;;;;M;МБОУ Лицей г.Бирска;https://vk.com/wall-20786359_1515;Пост;21.10.2022;983;33;4;4
;;;;;;;;;M;МБОУ СОШ №7 г.Бирска;https://vk.com/wall-209794250_314;Пост;21.10.2022;824;28;5;0
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_14386;Статья;25.10.2022;19 997;276;224;1
;;;;;;;;;M;МАОУ Лицей 5 официальной сообщество;https://vk.com/wall-173031792_521;Пост;21.10.2022;395;16;1;0
;;;;;;;;;M;личная страница;https://vk.com/wall321041322_1623;Пост;21.10.2022;509;36;0;3
;;;;;;;;;M;МОУ «Гимназия 4» г. о. Электросталь (telegram канал);https://t.me/gimnaziya4el/1466;Пост;02.11.2022;236;8;?;-
;;;;;;;;;M;Официальный сайт Муниципального общеобразовательного учреждения «Гимназия №4»;https://estalsch4.edumsko.ru/about/news/2364200;Статья;02.11.2022;?;-;-;-
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_146;Пост;23.10.2022;260;64;0;0
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_144;Пост;23.10.2022;751;66;2;12
;;;;;;;;;Ж;Школа №2000;https://vk.com/wall-160779209_2807;Пост;28.10.2022;1000;10;1;-
;;;;;;;;;Ж;Школа 2000;https://sch2000u.mskobr.ru/edu-news/5035;Статья;25.10.2022;-;-;-;-
;;;;;;;;;M;Стена ВК;https://vk.com/wall487640536_1264;Пост;01.11.2022;86;19;2;0
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48210;Пост;29.10.2022;557;28;1;2
;;;;;;;;;Ж;Технопарк ТГПУ им. Л.Н.Толстого;https://vk.com/wall-209575388_722;Упоминание;24.10.2022;1,6 к;30;10;0
;;;;;;;;;M;Сообщество в ВК школы 1501;https://vk.com/wall-211377019_555;Пост;22.10.2022;560;23;2;2
;;;;;;;;;M;Моя страница в ВК;https://vk.com/leshkartoshka74?w=wall397207329_1050;Пост;21.10.2022;774;58;4;12
;;;;;;;;;M;Страница ВК;https://vk.com/wall142446929_4275;Пост;23.10.2022;425;26;0;0
;;;;;;;;;Ж;Группа Кафедра информатики ГБОУ Школа 1580;https://vk.ru/wall-153393975_4950;Пост;28.10.2022;143;3;2;0
;;;;;;;;;M;ЦКП;https://vk.com/wall-216179221_146;Интервью;28.10.2022;3000;110;23;15
;;;;;;;;;M;Сайт министерства образования и науки Алтайского края;http://www.educaltai.ru/news/add_education/70060/;Статья;24.10.2022;-;-;-;-
;;;;;;;;;Ж;Личная страница (Леся Ерошенкова);https://vk.com/wall162645455_1654;Пост;22.10.2022;285;27;0;1
;;;;;;;;;M;Колледж «Сириус»;https://vk.com/wall-205589957_707;Пост;21.10.2022;2.5K;60;4;0
;;;;;;;;;M;Официальная группа Колледжа Сириус;https://vk.com/wall-205589957_707;Пост;21.10.2022;2.4К;60;3;0
;;;;;;;;;Ж;Личная страничка Вконтакте;https://vk.com/wall504054702_220;Пост;19.10.2022;706;72;1;17
;;;;;;;;;Ж;группа Вконтакте;https://vk.com/wall-205589957_707;Пост;21.10.2022;2,4;59;3;0
;;;;;;;;;M;Личная страница;https://vk.com/wall181850349_706;Пост;24.10.2022;От 1.5к просмотров;От 90;2;2
;;;;;;;;;M;Группа Центра Карьеры Университета МИСИС;https://vk.com/wall-76601568_10854;Пост;25.10.2022;700;25;2;0
;;;;;;;;;Ж;VK;https://vk.com/vikabaxareva?w=wall196938698_1405%2Fall;Пост;22.10.2022;303;45;-;13
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1602%2Fall;Пост;20.10.2022;129;6;0;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1600%2Fall;Пост;11.10.2022;269;13;3;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1599%2Fall;Пост;10.10.2022;258;18;0;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1596%2Fall;Пост;05.10.2022;151;5;0;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1594%2Fall;Пост;05.10.2022;577;38;3;3
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1583%2Fall;Пост;12.09.2022;1300;61;9;9
;;;;;;;;;Ж;Личная страница VK;https://vk.com/wall122091293_1094;Пост;18.10.2022;102;9;0;0
;;;;;;;;;Ж;K-studio;https://vk.com/wall-170831355_1835;Упоминание;20.10.2022;-;-;-;-
;;;;;;;;;Ж;Личная страница «ВКонтакте»;https://vk.com/wall213708917_1510;Пост;13.10.2022;396;45;0;0
;;;;;;;;;Ж;Личная страница «ВКонтакте»;https://vk.com/wall213708917_1506;Пост;13.10.2022;607;65;4;2
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_14244;Пост;10.10.2022;18 564;278;61;7
;;;;;;;;;Ж;"МКОУ ""Ольховецкая ООШ""";https://vk.com/wall-195826491_730?hash=e17311c331e6fc5c68;Пост;21.10.2022;125;24;2;0
;;;;;;;;;Ж;36 school. Россия, Тула;https://vk.com/wall-45650274_14050;Пост;20.10.2022;379;15;0;0
;;;;;;;;;Ж;Страница VK;https://vk.com/wall399830026_48204;Пост;21.10.2022;400 просмотров;35;2;0
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall139522908_4159;Пост;21.10.2022;Пока не известно;Пока не известно;Пока не известно;Пока не известно
;;;;;;;;;Ж;Instagram;https://instagram.com/stories/lily_rak/2953833453147993675?utm_source=ig_story_item_share&igshid=YmMyMTA2M2Y=;Истории;21.10.2022;400-500 просмотров;Лайков нет;Реакций много;Реакции людей
;;;;;;;;;Ж;VK;https://vk.com/vikabaxareva?w=wall196938698_1390%2Fall;Пост;21.10.2022;-;-;-;-
;;;;;;;;;Ж;VK;https://vk.com/vikabaxareva?w=wall196938698_1387%2Fall;Пост;25.07.2022;576;18;1;1
;;;;;;;;;Ж;Личная страница;https://vk.com/wall122091293_1082;Пост;12.10.2022;538;52;1;12
;;;;;;;;;Ж;Сайт Московского Политеха;https://mospolytech.ru/news/studenty-i-sotrudniki-moskovskogo-politekha-stali-ambassadorami-ekosistemy-vk/;Новость на сайте;14.09.2022;неизвестно;-;-;-
;;;;;;;;;Ж;Московский Политех;https://vk.com/wall-33991085_25240;Пост;15.09.2022;неизвестно;73;7;9
;;;;;;;;;Ж;K-studio;https://vk.com/wall-170831355_1797;Пост;07.10.2022;1,2k;58;7;12
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/wall613515705_119;Пост;12.09.2022;210;20;2;0
;;;;;;;;;M;"Сообщество в социальной сети ВКонтакте ""МОПК НИЯУ МИФИ""";https://vk.com/wall-133885595_1169;Пост;07.10.2022;1454;20;9;0
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall-215969120_16;Подкаст;10.10.2022;Выпуск опубликован на 10 площадках + репосты в сообществах МГУ;-;-;-
;;;;;;;;;M;Известия Мордовии;https://izvmor.ru/novosti/nauka-i-obrazovanie/v-mgpu-im-evseveva-v-saranske-projdet-biznes-intensiv-v-dele/;Новость на сайте;06.10.2022;-;-;-;-
;;;;;;;;;M;"Российское общество ""Знание""";https://www.znanierussia.ru/events/intensiv-v-dele-921;Упоминание;06.10.2022;-;-;-;-
;;;;;;;;;M;vk.com;https://vk.com/ilkatkov?w=wall142446929_4242;Пост;12.09.2022;853;80;2;0
;;;;;;;;;M;Факультет физики и математики БФ БашГУ;https://vk.com/wall-19839018_3003;Пост;03.10.2022;4091;77;10;1
;;;;;;;;;Ж;Сайт Московского Политеха;https://mospolytech.ru/news/studenty-i-sotrudniki-moskovskogo-politekha-stali-ambassadorami-ekosistemy-vk/;Новость на сайте;14.09.2022;-;-;-;-
;;;;;;;;;Ж;Несколько источников: сообщество ВКонтакте, Google Podcasts, Apple Podcasts, Яндекс Музыка и тд;https://vk.com/podcasts-215969120;Подкаст;26.09.2022;-;-;-;-
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1593%2Fall;Пост;16.09.2022;135;5;2;0
;;;;;;;;;M;Радио Бирь 102.3 FM - ПЕРВОЕ ГОРОДСКОЕ (16+);https://vk.com/wall-50946407_9697;Пост;15.09.2022;339;4;2;0
;;;;;;;;;M;Владислав Файзрахманов;https://vk.com/wall212953635_4028;Пост;13.09.2022;699;52;1;8
;;;;;;;;;Ж;Форум LEVELUP 2022;https://levelup-forum.ru/;Упоминание;12.09.2022;-;-;-;-
;;;;;;;;;Ж;Facebook;https://m.facebook.com/story.php?story_fbid=pfbid0278cB5SKJ8KjgZv4HtxrVjxxh22BMvK2i62iQzb9PgMNfMYzbNRabkYGXmmo6Jizrl&id=100016349527179;Пост;12.09.2022;-;40;-;10
;;;;;;;;;Ж;Телеграм;https://t.me/alenabudetpech/1162;Пост;12.09.2022;1500;-;-;4
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall229419078_445;Пост;12.09.2022;229;35;1;3
;;;;;;;;;M;Факультет физики и математики БФ БашГУ;https://vk.com/wall-19839018_2962;Пост;14.09.2022;461;10;2;1
;;;;;;;;;M;ТИГР БФ БашГУ;https://vk.com/wall-154530864_4868;Пост;14.09.2022;1.9К;47;9;3
;;;;;;;;;M;Отдел по соцвопросам,молодёжной политики и спорт;https://vk.com/wall-198949589_1210;Пост;14.09.2022;202;5;2;0
;;;;;;;;;M;Администрация Бирского района;https://vk.com/wall-150065392_18259;Пост;14.09.2022;1.3К;11;2;0
